,ht_l10_abs_h,ht_l10_abs_a,ht_l10_hits_h,ht_l10_hits_a,ht_l10_doubles_h,ht_l10_doubles_a,ht_l10_triples_h,ht_l10_triples_a,ht_l10_hrs_h,ht_l10_hrs_a,ht_l10_rbis_h,ht_l10_rbis_a,ht_l10_sac_hits_h,ht_l10_sac_hits_a,ht_l10_sac_flies_h,ht_l10_sac_flies_a,ht_l10_hbp_h,ht_l10_hbp_a,ht_l10_bb_h,ht_l10_bb_a,ht_l10_bbi_h,ht_l10_bbi_a,ht_l10_ko_h,ht_l10_ko_a,ht_l10_sb_h,ht_l10_sb_a,ht_l10_cs_h,ht_l10_cs_a,ht_l10_hit_into_dp_h,ht_l10_hit_into_dp_a,ht_l10_catcher_i_h,ht_l10_catcher_i_a,ht_l10_lob_h,ht_l10_lob_a,ht_l10_pitchers_h,ht_l10_pitchers_a,ht_l10_ers_h,ht_l10_ers_a,ht_l10_wp_h,ht_l10_wp_a,ht_l10_balks_h,ht_l10_balks_a,ht_l10_assists_h,ht_l10_assists_a,ht_l10_errors_h,ht_l10_errors_a,ht_l10_passed_balls_h,ht_l10_passed_balls_a,ht_l10_dp_h,ht_l10_dp_a,ht_l10_tp_h,ht_l10_tp_a,ht,ht_wins,ht_losses,at,at_wins,at_losses,home_team_won
1075,334,346,90,85,7,13,0,1,12,17,34,41,1,4,1,3,2,4,18,28,2,3,64,107,1,3,3,0,6,9,0,1,60,67,43,43,42,45,3,3,0,0,99,85,12,6,0,0,8,7,0,0,PHI,38,32,SLN,37,33,False
1076,329,340,83,81,18,12,0,1,13,13,46,39,3,2,2,1,4,5,36,26,1,0,79,105,12,5,2,1,11,6,0,1,66,65,43,39,40,31,2,2,0,0,88,74,4,6,1,1,13,4,0,0,PIT,36,36,MIL,42,30,False
1077,327,364,73,103,14,24,2,1,14,17,37,60,0,0,2,3,8,4,26,37,0,1,94,82,0,4,0,3,9,5,0,0,60,76,40,41,44,39,7,1,0,0,98,95,9,3,0,1,9,9,0,0,SDN,34,40,OAK,36,36,False
1078,346,349,79,87,18,24,1,4,6,10,33,36,3,1,4,2,4,3,34,31,3,1,83,89,3,3,1,0,8,10,0,0,75,77,46,39,40,49,4,6,1,0,103,100,3,5,1,0,12,9,0,0,SFN,35,38,MIA,29,44,True
1079,342,333,77,70,16,8,0,1,9,8,27,27,0,1,1,4,8,6,30,30,0,3,94,83,3,6,1,0,9,9,0,0,78,69,44,35,40,44,3,2,2,1,93,106,5,3,1,0,9,13,0,0,WAS,38,32,BAL,20,50,True
1080,322,354,84,88,5,24,7,4,18,12,57,53,1,4,4,3,7,3,41,34,4,4,78,93,5,5,4,0,7,5,0,0,62,71,42,42,36,38,3,2,0,1,106,92,3,3,0,0,13,10,0,0,ANA,38,35,ARI,40,32,True
1081,318,329,72,70,13,20,4,2,7,5,32,28,2,2,2,0,4,3,21,24,2,1,95,103,6,4,5,2,3,7,1,0,57,59,47,44,33,36,3,4,0,1,90,86,3,11,0,0,9,12,0,0,CLE,38,33,CHA,24,47,True
1082,322,326,86,63,19,10,3,1,8,6,41,20,1,1,3,0,9,5,33,23,0,0,66,112,3,4,3,4,9,7,0,0,70,53,37,41,27,40,6,3,0,0,98,102,6,10,0,1,9,7,0,0,HOU,49,25,TBA,33,39,False
1083,326,335,84,77,14,17,2,1,15,6,54,31,3,1,2,1,10,6,45,53,0,3,93,91,9,1,3,2,8,12,0,0,71,82,38,37,57,44,2,2,2,0,107,93,4,8,1,3,13,6,0,0,KCA,22,50,TEX,30,44,False
1084,329,347,86,84,22,8,2,1,13,15,41,46,0,0,1,4,5,4,29,36,1,3,73,90,7,11,1,2,11,9,0,0,68,65,35,37,31,30,1,3,0,0,98,86,6,6,2,1,5,6,0,0,MIN,31,37,BOS,49,24,True
1085,332,339,90,79,14,11,1,0,15,13,40,35,2,1,1,1,3,4,23,28,1,0,91,76,5,5,5,2,11,11,1,0,63,63,40,36,33,29,4,1,0,0,96,105,7,3,0,1,11,10,0,0,NYA,47,22,SEA,46,26,True
1086,324,355,69,93,18,28,1,1,11,10,35,43,1,2,0,1,4,3,22,26,4,0,81,82,2,3,4,1,6,5,0,0,52,73,40,42,20,49,1,4,0,0,89,86,2,2,0,1,5,7,0,0,TOR,33,38,ATL,42,29,False
1087,320,353,77,96,19,24,0,4,19,23,43,68,4,4,2,4,0,2,35,53,4,2,91,94,6,6,2,0,5,6,0,0,57,71,46,63,24,44,2,2,0,0,92,90,4,6,0,0,7,7,0,0,CHN,41,29,LAN,38,34,True
